relay,slot,block_hash,builder_pubkey,value,gas_used,gas_limit
flashbots,10980481,0x6252eaacc77c6a9e7f4e1d5117131f957b6342f9684b6949d4d9a834f0d4181c,0xa21a2f4807a2bcb6b07c10cea241322e0910c30869c1e4eda686b0d69bdcb74d2a140ef994afcf0bb38e0b960df4d2ee,21922669751449997,9658905,30175828
flashbots,10980479,0x62f8162c1b14a2152183060738ba45b03ad486e67553c337d5d9e17a68285294,0xb67eaa5efcfa1d17319c344e1e5167811afbfe7922a2cf01c9a361f465597a5dc3a5472bd98843bac88d2541a78eab08,18782231205264077,13721677,30116980
flashbots,10980469,0x08455370b59a1c6fdc102987933d445477741095d827c65f2adfe9d718829ca1,0xb67eaa5efcfa1d17319c344e1e5167811afbfe7922a2cf01c9a361f465597a5dc3a5472bd98843bac88d2541a78eab08,19070377546181107,13758845,30058360
flashbots,10980466,0xf849a1611d993823055c71b37328f4501ddae0e750f55f775daf0e94fcdd4a18,0xb67eaa5efcfa1d17319c344e1e5167811afbfe7922a2cf01c9a361f465597a5dc3a5472bd98843bac88d2541a78eab08,27487234576224973,18771056,30146590
flashbots,10980448,0x63c21946e77bde27ea29fd4a6766f44b5081651e373b9bf828708b56590279ef,0xa21a2f4807a2bcb6b07c10cea241322e0910c30869c1e4eda686b0d69bdcb74d2a140ef994afcf0bb38e0b960df4d2ee,96494768003701032,18351415,30000000
flashbots,10980437,0x4887f023e0d92498a4a31dc965e782809341980cb2513bb906e1a61a8fdb58b5,0x840c9dafb68f5cd460b5d5677b85114e89187e7c890f11a8c5fc4a3e4f4aa74136ef0fcd62cf7de9741afcf7d4d3360d,260224911451192476,12296365,30000000
flashbots,10980433,0x23f1ba39cfe1cbe1f3c54a4c1379db4260805e6d54caab91831ed1b4ad38b314,0x93582c97ac58670ba118aae52cf6355d8c680a2a538bf77c90873e3fe7ddc0a6dd231e2e2ea06bdc07e9b160883512a3,18535061969976721,10176741,30000000
flashbots,10980428,0x9f9b0a084958a0d415ff12eccb72d7b7ad9f88e9024c3ee45a52cf4aa561ecd1,0xa21a2f4807a2bcb6b07c10cea241322e0910c30869c1e4eda686b0d69bdcb74d2a140ef994afcf0bb38e0b960df4d2ee,30703989639192665,10916156,30028837
flashbots,10980416,0x0e1478318bc2ec8c636de909c479e05c33c9b3d02d728df79b3bacba265cc0ab,0xa21a2f4807a2bcb6b07c10cea241322e0910c30869c1e4eda686b0d69bdcb74d2a140ef994afcf0bb38e0b960df4d2ee,19690758548921824,11587814,30029009
flashbots,10980409,0x8518fc6ebf36ddaa4fa45455651dc6cfa9e6f2135b4f9a59b2e2ab19bccc1473,0xa21a2f4807a2bcb6b07c10cea241322e0910c30869c1e4eda686b0d69bdcb74d2a140ef994afcf0bb38e0b960df4d2ee,41467324727310401,13238252,30117210
flashbots,10980395,0x73d23f59ea8abbcad1489b358f534e9eb8873a04503f3b3e296e4995ebea7e47,0xb67eaa5efcfa1d17319c344e1e5167811afbfe7922a2cf01c9a361f465597a5dc3a5472bd98843bac88d2541a78eab08,55440592549640315,14102588,30000000
flashbots,10980384,0x4a3a3b6c3d6e3e58539fc081e59c8f5f5ae5db1c774d9af121b6bcecae678f3f,0xb26f96664274e15fb6fcda862302e47de7e0e2a6687f8349327a9846043e42596ec44af676126e2cacbdd181f548e681,77892146155872395,17594442,30087769
flashbots,10980372,0xc5516079128318bf5245052dadd785ec51f5fe6bb16d97b10fcae3ac02ed0fc7,0xa21a2f4807a2bcb6b07c10cea241322e0910c30869c1e4eda686b0d69bdcb74d2a140ef994afcf0bb38e0b960df4d2ee,38618705280834341,21451081,30146763
flashbots,10980366,0x984e7c7e90fcc9cf14daac326b9601c6aa26f7b5a562b4d5de5841a68abcc13b,0x840c9dafb68f5cd460b5d5677b85114e89187e7c890f11a8c5fc4a3e4f4aa74136ef0fcd62cf7de9741afcf7d4d3360d,82837760267991222,10369782,30029295
flashbots,10980335,0x3bac4d5171b6bd495e2346cc81a3b3fe8a18fa739035bc07e3442d08ac7f6941,0x840c9dafb68f5cd460b5d5677b85114e89187e7c890f11a8c5fc4a3e4f4aa74136ef0fcd62cf7de9741afcf7d4d3360d,37353374393266526,11981372,30000000
flashbots,10980334,0x6863ebb88ce1526f0c4c093a8bd79b4c272e21166c8f189f6ad2891dffbf64d5,0x840c9dafb68f5cd460b5d5677b85114e89187e7c890f11a8c5fc4a3e4f4aa74136ef0fcd62cf7de9741afcf7d4d3360d,30047004290834952,11085674,30000000
flashbots,10980329,0x2e8ba11df4eb25b97e0e252d3df1868bb10d49d0f5bf1c62434db2affef9c2e7,0xb4a435cf816291596fe2e405651ec8b6c80b9cc34dace3c83202ca489a833756c9a0672ebdc17f23d9d43163db1caa5d,28697602065742049,17229216,30096781
